Title,Rating,Review Count,Phone,Address
Buddha Tooth Relic Temple and Museum,4.5,"5,613",+65 6220 0220,288 South Bridge Road
Bukit Brown Cemetery,4.5,192,+ Add phone number,Lorong Halwa
Sungei Buloh Wetland Reserve,4.5,423,+65 6794 1401,301 Neo Tiew Crescent Sungei Buloh Wetland Reserve
Flower Dome,4.5,"5,403",+65 6420 6848,18 Marina Gardens Drive Gardens By the Bay
National Museum of Singapore,4.5,"2,287",+65 6332 4405,93 Stamford Road National Museum of Singapore
National Gallery Singapore,4.5,957,+65 6271 7000,1 St. Andrew's Road #01-01 National Gallery Singapore
The Changi Museum,4.5,"2,036",+65 6214 2451,1000 Upper Changi Road North
